date,name,value
2021-01-01,AED,3.673068
2021-01-01,AFN,77.3811593333
2021-01-01,ALL,100.914798
2021-01-01,AMD,521.666801
2021-01-01,ANG,1.799301
2021-01-02,AED,3.673068
2021-01-02,AFN,77.3811593333
2021-01-02,ALL,101.322197
2021-01-02,AMD,522.7502015
2021-01-02,ANG,1.799301
2021-01-03,AED,3.6728896667
2021-01-03,AFN,77.3811593333
2021-01-03,ALL,101.322197
2021-01-03,AMD,522.749958
2021-01-03,ANG,1.803922
2021-01-04,AED,3.6730666667
2021-01-04,AFN,77.2007996667
2021-01-04,ALL,100.182568
2021-01-04,AMD,521.7188843333
2021-01-04,ANG,1.794159
2021-01-05,AED,3.6730016667
2021-01-05,AFN,77.2564066667
2021-01-05,ALL,100.31817
2021-01-05,AMD,521.2866236667
2021-01-05,ANG,1.797108
2021-01-06,AED,3.673
2021-01-06,AFN,77.1832296667
2021-01-06,ALL,100.259536
2021-01-06,AMD,521.704462
2021-01-06,ANG,1.79375
2021-01-07,AED,3.6730666667
2021-01-07,AFN,77.123041
2021-01-07,ALL,100.684554
2021-01-07,AMD,522.299785
2021-01-07,ANG,1.795428
2021-01-08,AED,3.6729473333
2021-01-08,AFN,77.1279966667
2021-01-08,ALL,101.1379963333
2021-01-08,AMD,521.7621836667
2021-01-08,ANG,1.794999
2021-01-09,AED,3.6730013333
2021-01-09,AFN,77.1411176667
2021-01-09,ALL,101.235179
2021-01-09,AMD,522.9266585
2021-01-09,ANG,1.798773
2021-01-10,AED,3.6729253333
2021-01-10,AFN,77.1468983333
2021-01-10,ALL,101.241661
2021-01-10,AMD,523.144814
2021-01-10,ANG,1.798773
